step,heater_power,T_room,T_sensor
335,0.000,78.964,57.702
336,0.000,78.958,57.844
337,0.000,78.952,57.984
338,0.000,78.947,58.124
339,0.000,78.941,58.263
340,0.000,78.935,58.401
341,0.000,78.929,58.538
342,0.000,78.923,58.673
343,0.000,78.917,58.808
344,0.000,78.911,58.942
345,0.000,78.905,59.076
346,0.000,78.899,59.208
347,0.000,78.894,59.339
348,0.000,78.888,59.469
349,0.000,78.882,59.599
350,0.000,78.876,59.727
351,0.000,78.870,59.855
352,0.000,78.864,59.982
353,0.000,78.858,60.107
354,0.000,78.852,60.232
355,0.000,78.846,60.356
356,0.000,78.841,60.480
357,0.000,78.835,60.602
358,0.000,78.829,60.724
359,0.000,78.823,60.844
360,0.000,78.817,60.964
361,0.000,78.811,61.083
362,0.000,78.805,61.201
363,0.000,78.799,61.318
364,0.000,78.793,61.435
365,0.000,78.788,61.551
366,0.000,78.782,61.666
367,0.000,78.776,61.780
368,0.000,78.770,61.893
369,0.000,78.764,62.005
370,0.000,78.758,62.117
371,0.000,78.752,62.228
372,0.000,78.746,62.338
373,0.000,78.741,62.447
374,0.000,78.735,62.556
375,0.000,78.729,62.664
376,0.000,78.723,62.771
377,0.000,78.717,62.877
378,0.000,78.711,62.983
379,0.000,78.705,63.088
380,0.000,78.699,63.192
381,0.000,78.694,63.295
382,0.000,78.688,63.398
383,0.000,78.682,63.500
384,0.000,78.676,63.601
385,0.000,78.670,63.701
386,0.000,78.664,63.801
387,0.000,78.658,63.900
388,0.000,78.653,63.998
389,0.000,78.647,64.096
390,0.000,78.641,64.193
391,0.000,78.635,64.289
392,0.000,78.629,64.385
393,0.000,78.623,64.480
394,0.000,78.617,64.574
395,0.000,78.611,64.668
396,0.000,78.606,64.760
397,0.000,78.600,64.853
398,0.000,78.594,64.944
399,0.000,78.588,65.035
400,0.000,78.582,65.126
401,0.000,78.576,65.215
402,0.000,78.570,65.304
403,0.000,78.565,65.393
404,0.000,78.559,65.480
405,0.000,78.553,65.568
406,0.000,78.547,65.654
407,0.000,78.541,65.740
408,0.000,78.535,65.825
409,0.000,78.529,65.910
410,0.000,78.524,65.994
411,0.000,78.518,66.078
412,0.000,78.512,66.161
413,0.000,78.506,66.243
414,0.000,78.500,66.325
415,0.000,78.494,66.406
416,0.000,78.489,66.486
417,0.000,78.483,66.566
418,0.000,78.477,66.646
419,0.000,78.471,66.724
420,0.000,78.465,66.803
421,0.000,78.459,66.880
422,0.000,78.453,66.958
423,0.000,78.448,67.034
424,0.000,78.442,67.110
425,0.000,78.436,67.186
426,0.000,78.430,67.261
427,0.000,78.424,67.335
428,0.000,78.418,67.409
429,0.000,78.413,67.482
430,0.000,78.407,67.555
431,0.000,78.401,67.628
432,0.000,78.395,67.699
433,0.000,78.389,67.771
434,0.000,78.383,67.841
435,0.000,78.378,67.912
436,0.000,78.372,67.981
437,0.000,78.366,68.051
438,0.000,78.360,68.119
439,0.000,78.354,68.188
440,0.000,78.348,68.255
441,0.000,78.342,68.323
442,0.000,78.337,68.389
443,0.000,78.331,68.456
444,0.000,78.325,68.521
445,0.000,78.319,68.587
446,0.000,78.313,68.651
447,0.000,78.307,68.716
448,0.000,78.302,68.780
449,0.000,78.296,68.843
450,0.000,78.290,68.906
451,0.000,78.284,68.969
452,0.000,78.278,69.031
453,0.000,78.273,69.092
454,0.000,78.267,69.154
455,0.000,78.261,69.214
456,0.000,78.255,69.275
457,0.000,78.249,69.334
458,0.000,78.243,69.394
459,0.000,78.238,69.453
460,0.000,78.232,69.511
461,0.000,78.226,69.569
462,0.000,78.220,69.627
463,0.000,78.214,69.684
464,0.000,78.208,69.741
465,0.000,78.203,69.798
466,0.000,78.197,69.854
467,0.000,78.191,69.909
468,0.000,78.185,69.964
469,0.000,78.179,70.019
470,0.000,78.174,70.073
471,0.000,78.168,70.127
472,0.000,78.162,70.181
473,0.000,78.156,70.234
474,0.000,78.150,70.287
475,0.000,78.144,70.339
476,0.000,78.139,70.391
477,0.000,78.133,70.443
478,0.000,78.127,70.494
479,0.000,78.121,70.545
480,0.000,78.115,70.595
481,0.000,78.110,70.646
482,0.000,78.104,70.695
483,0.000,78.098,70.745
484,0.000,78.092,70.794
485,0.000,78.086,70.842
486,0.000,78.081,70.890
487,0.000,78.075,70.938
488,0.000,78.069,70.986
489,0.000,78.063,71.033
490,0.000,78.057,71.080
491,0.000,78.051,71.126
492,0.000,78.046,71.172
493,0.000,78.040,71.218
494,0.000,78.034,71.264
495,0.000,78.028,71.309
496,0.000,78.022,71.354
497,0.000,78.017,71.398
498,0.000,78.011,71.442
499,0.000,78.005,71.486
500,0.000,77.999,71.529
501,0.000,77.993,71.572
502,0.000,77.988,71.615
503,0.000,77.982,71.658
504,0.000,77.976,71.700
505,0.000,77.970,71.741
506,0.000,77.964,71.783
507,0.000,77.959,71.824
508,0.000,77.953,71.865
509,0.000,77.947,71.906
510,0.000,77.941,71.946
511,0.000,77.935,71.986
512,0.000,77.930,72.025
513,0.000,77.924,72.065
514,0.000,77.918,72.104
515,0.000,77.912,72.142
516,0.000,77.907,72.181
517,0.000,77.901,72.219
518,0.000,77.895,72.257
519,0.000,77.889,72.294
520,0.000,77.883,72.332
521,0.000,77.878,72.369
522,0.000,77.872,72.405
523,0.000,77.866,72.442
524,0.000,77.860,72.478
525,0.000,77.854,72.514
526,0.000,77.849,72.549
527,0.000,77.843,72.585
528,0.000,77.837,72.620
529,0.000,77.831,72.654
530,0.000,77.826,72.689
531,0.000,77.820,72.723
532,0.000,77.814,72.757
533,0.000,77.808,72.791
534,0.000,77.802,72.824
535,0.000,77.797,72.857
536,0.000,77.791,72.890
537,0.000,77.785,72.923
538,0.000,77.779,72.955
539,0.000,77.773,72.987
540,0.000,77.768,73.019
541,0.000,77.762,73.051
542,0.000,77.756,73.082
543,0.000,77.750,73.113
544,0.000,77.745,73.144
545,0.000,77.739,73.175
546,0.000,77.733,73.205
547,0.000,77.727,73.235
548,0.000,77.722,73.265
549,0.000,77.716,73.295
550,0.000,77.710,73.324
551,0.000,77.704,73.353
552,0.000,77.698,73.382
553,0.000,77.693,73.411
554,0.000,77.687,73.440
555,0.000,77.681,73.468
556,0.000,77.675,73.496
557,0.000,77.670,73.524
558,0.000,77.664,73.551
559,0.000,77.658,73.579
560,0.000,77.652,73.606
561,0.000,77.647,73.633
562,0.000,77.641,73.660
563,0.000,77.635,73.686
564,0.000,77.629,73.712
565,0.000,77.623,73.738
566,0.000,77.618,73.764
567,0.000,77.612,73.790
568,0.000,77.606,73.815
569,0.000,77.600,73.841
570,0.000,77.595,73.866
571,0.000,77.589,73.890
572,0.000,77.583,73.915
573,0.000,77.577,73.939
574,0.000,77.572,73.964
575,0.000,77.566,73.988
576,0.000,77.560,74.012
577,0.000,77.554,74.035
578,0.000,77.549,74.059
579,0.000,77.543,74.082
580,0.000,77.537,74.105
581,0.000,77.531,74.128
582,0.000,77.526,74.150
583,0.000,77.520,74.173
584,0.000,77.514,74.195
585,0.000,77.508,74.217
586,0.000,77.503,74.239
587,0.000,77.497,74.261
588,0.000,77.491,74.282
589,0.000,77.485,74.304
590,0.000,77.480,74.325
591,0.000,77.474,74.346
592,0.000,77.468,74.367
593,0.000,77.462,74.387
594,0.000,77.457,74.408
595,0.000,77.451,74.428
596,0.000,77.445,74.448
597,0.000,77.439,74.468
598,0.000,77.434,74.488
599,0.000,77.428,74.507
